key,title,tip,tip2
danseitokken,男性特権,男性特権とは、家父長制的な社会構造の中で、男性がマジョリティ（優位）側の属性を持つことにより、意識せずとも自動的に享受している相対的な利点や安全性のこと。昇進の機会、夜間の安全性、家事・育児の負担軽減など、女性やマイノリティと比較して有利な環境に置かれる状況を指す。 ,
microaggression,マイクロアグレッション,マイクロアグレッションとは、人種、性別、性的指向、障害などの属性に基づき、日常生活で無意識かつ悪気なく発せられる「小さな（Micro）」差別的な言葉や態度のこと。一見すると褒め言葉や軽い冗談に見えることもあるが、受け手には否定的なメッセージや固定観念として伝わり、心理的ストレスを累積させる「見えない攻撃」として近年問題視されている。 ,
malegaze,メイルゲイズ,メイルゲイズ（Male Gaze：男性の視線）とは、映画や広告などの視覚メディアにおいて、女性が男性の視点（欲望の対象）として受動的に描かれる構造を指す。,
saferspace,セーファースペース,セーファースペースとは、性別、性的指向、人種、障害、年齢などに関わらず、すべての人が差別やハラスメントを恐れずに「自分らしく」いられ、互いに敬意を持って交流できる「より安全な空間」のこと。既存の社会で周縁化されやすい人々が、安心して過ごせる場（カフェやイベントなど）を作るための意識的な試みや、その場でのルールを指す。 ,
Mansplaining,マンスプレイング,マンスプレイニング（Mansplaining）とは、男性（Man）が説明する（Explaining）の造語で、男性が女性に対して無意識に見下した態度や、上から目線で知識をひけらかし、説明・解説する行為を指す。相手がその分野に詳しいかどうかにかかわらず、教えようとする姿勢が特徴である。 ,
structuraloppression,構造的抑圧,構造的抑圧（構造的暴力）とは、社会制度、法律、経済システム、文化的な規範など、組織や社会の構造自体が原因で、特定のグループが潜在的・間接的に差別、貧困、不利益を被る状態を指す。個人の悪意による直接的な暴力とは異なり、社会の「当たり前」に隠れ、自覚されにくい問題とされる。,
tonepolicing,トーンポリシング,トーンポリシング（Tone Policing）とは、議論や社会運動において、相手の主張内容ではなく、言い方（トーン）、態度、感情的な口調を批判することで、本質的な論点をずらし、主張を封じ込める行為のこと。日本語では「話し方警察」「話し方取り締まり」とも呼ばれ、主に弱者や被害者が怒りをもって訴える際に、多数派や加害者側から「冷静に話せ」「伝え方が悪い」と指摘する場面で使われる。,
gendersensitivity,ジェンダーセンシティビティ,ジェンダーセンシティビティ（Gender Sensitivity）とは、社会文化的に形成された性差（ジェンダー）や、それによって生じる不平等、性別役割分業（「男らしさ」「女らしさ」）に敏感であり、配慮する姿勢や能力のことを指す。,
lookism,ルッキズム,ルッキズム（Lookism）とは、外見（Looks）と主義（ism）を掛け合わせた造語で、容姿や身体的特徴で人を判断し、差別する「外見至上主義」のことを指す。外見が優れた人を優遇し、そうでない人を蔑視・差別する価値観であり、現代の社会問題として見直す動きが進んでいる。,
emotionallabor,感情労働,感情労働とは、接客や看護など、相手の感情に配慮し、自身の感情をコントロール（抑制・演技）しながら行う労働のことを指す。米社会学者A・R・ホックシールドが提唱した概念で、肉体・頭脳労働に次ぐ第3の労働とも呼ばれる。精神的な負担が大きく、バーンアウト（燃え尽き）の危険性があるためケアが重要とされる。,
paternalism,パターナリズム,パターナリズム（父権主義・温情主義）とは、強い立場にある者（医師、親、国など）が、弱い立場にある者の利益を名目に、本人の意思に反して行動に介入・干渉・決定することを指す。善意に基づく「あなたのため」という態度だが、個人の自由や自己決定権を制限するため、現代では批判されることも多い。,
intersectionality,インターセクショナリティ,インターセクショナリティ（交差性）とは、人種、ジェンダー、階層、障がいといった複数の属性が組み合わさることで生じる、重層的な差別や特権を捉えるための枠組みである。 差別は単なる属性の足し算（例：人種差別＋性差別）ではなく、要素が混ざり合うことで「その立場の者特有の困難」へと性質が変化する。例えば、人種的マイノリティの女性は、同人種の男性やマジョリティの女性とは異なる複合的な抑圧を受けることがある。この視点は、従来の社会運動が見落としてきた「マジョリティの中のマイノリティ」が直面する見えにくい不利益を可視化し、個々人の多様な背景に即したより包括的な支援や解決策を導き出すために極めて重要とされる。,
unconsciousbias,アンコンシャスバイアス,アンコンシャスバイアス（無意識の偏見）とは、育った環境や日常の情報に影響され、自覚がないまま形作られた「ものの見方の偏り」のことを指す。 脳が情報を効率よく処理しようとする際に生じる「心のクセ」の一種で、悪意がなくとも「性別による役割」などを反射的に決めつけ、他者の可能性を狭めたり不当な評価を下したりする原因となる。,
falseequivalence,誤った等価関係,ジェンダーにおける「誤った等価関係」とは、根拠の重みや社会的な背景が全く異なる二つの事柄を、あたかも対等な「両論」であるかのように扱う偏った見方のことを指す。 例えば、統計や事実に基づく深刻な男女格差（賃金や負担の差など）を、単なる「個人の好み」や「性別のイメージ」といった根拠の薄い意見と横並びにして紹介することを指し、これによって構造的な差別が「単なる意見の相違」へとすり替えられてしまう。このように、事実と偏見を同じ重さで扱う姿勢は、一見すると中立で公平に見えるが、実際には問題の本質を隠し、不平等の解決を妨げる大きな要因となっている。,
